c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
145,147,202,64,110,126,79,234,106,76,1922,1788,1000,1000,1877,2228,1671,1840,1739,1937,90,30,50,50,50,50,-30,90,30,-90,False,ARAM

201,22,1,36,202,21,86,63,136,222,1904,1000,1000,1877,1914,1903,1825,1940,1787,1984,50,50,50,50,50,-50,-10,50,-10,90,True,ARAM

37,82,18,90,254,1,33,27,61,119,2021,2173,1000,1000,1678,2037,2075,1854,2053,2079,30,10,50,50,10,90,30,90,90,-50,False,ARAM

96,21,35,64,150,98,74,141,25,236,2028,2173,1000,1000,1678,2047,1920,2116,2093,2066,90,10,50,50,10,10,-50,90,-90,10,False,ARAM

203,85,223,157,21,360,53,115,555,61,1000,1000,1678,1948,1928,2099,1726,1000,1000,1989,50,50,10,-10,50,30,30,-10,30,30,False,ARAM

2,45,518,523,41,133,82,887,16,75,2394,1000,1000,1686,2204,2278,2202,1882,1000,2173,90,90,90,10,-10,-50,-10,-50,-70,10,True,ARAM

223,74,236,6,142,254,104,99,86,54,1678,2173,1000,1644,1589,1630,1000,1000,1000,1222,10,10,50,-60,10,10,-90,-50,-20,-50,True,ranked

53,15,61,164,76,86,69,7,18,99,1912,1803,1848,2178,1000,1687,2095,1778,2013,1785,-90,-30,-10,-50,-50,50,90,90,50,90,False,ARAM

104,22,67,517,50,21,54,429,875,516,2178,1000,1888,1893,1849,1934,1914,1930,1856,1892,-50,-50,50,-10,30,-90,-90,30,-90,10,True,ARAM

11,16,236,111,360,53,63,266,161,90,1771,1885,1820,1828,1799,1861,1856,2178,1000,1874,10,-90,-50,-50,50,-50,-10,-50,-50,10,False,ARAM

777,111,58,25,202,8,234,45,82,63,1858,1000,1664,1791,1780,1835,2178,1000,1000,1635,-10,-30,-30,50,90,-90,-50,-50,10,10,True,ARAM

67,59,518,523,10,57,54,44,498,42,1914,1698,1934,1000,1914,1970,1984,1000,2136,1791,-30,-30,-90,-90,-90,-10,-90,50,30,50,False,ARAM

53,518,9,15,55,48,8,35,222,154,1929,1904,1974,1000,1959,1992,2033,1934,1000,1914,-30,10,10,10,50,-10,-30,-90,-90,-90,True,ARAM

875,29,14,103,80,145,21,28,25,83,1934,1000,1914,1999,1966,1854,1000,2210,1754,2138,-90,-90,-90,10,50,20,50,20,90,10,False,ARAM

202,40,101,59,76,427,238,119,62,222,2149,1658,1934,1000,1914,2014,2976,931,1904,2022,70,-30,-90,-90,-90,-50,90,30,30,-10,False,ARAM

102,64,26,498,117,35,76,115,110,5,1627,1000,1967,1678,2010,1959,1000,2190,1924,1000,50,50,-30,10,10,30,30,30,50,30,True,ARAM

268,104,23,74,22,67,10,412,223,876,1669,1882,1627,1000,1678,1687,1513,2251,1000,1965,10,50,50,50,10,30,30,30,10,30,True,ARAM

39,81,526,41,29,143,516,145,60,99,1000,1000,1000,1000,1000,2054,2070,1687,1513,2251,-10,10,-10,-10,-10,-10,50,30,30,30,False,ARAM

41,350,80,25,99,134,2,235,147,161,2198,1000,2113,1735,2460,1000,1000,1000,1000,2099,-50,-50,-50,-50,-50,-10,-10,-10,-10,50,False,ARAM

81,61,7,62,33,31,75,15,222,101,1000,1000,1000,1000,1000,2143,2178,2191,2118,2176,-10,-90,-10,-10,-10,90,-10,-10,50,-10,False,ARAM

143,25,150,10,55,222,39,114,1,4,1000,1000,1000,1000,1000,2061,2095,2474,1233,2231,-10,10,-10,-10,-10,30,-90,-90,-90,-90,True,ARAM

267,111,38,157,15,432,119,69,1,54,1000,1000,1000,1000,1000,1948,2202,1000,1000,1000,-10,10,-10,-10,-10,90,90,90,50,-10,True,ARAM

517,25,777,67,40,3,56,101,81,117,1349,1289,1011,1000,2251,1000,1296,1747,1570,1000,30,10,10,10,30,50,50,50,50,50,True,ranked

23,32,74,67,25,114,5,875,145,16,846,1392,911,1000,1133,1687,1978,1465,1000,2251,10,-30,-50,-50,-30,30,50,90,10,30,False,ranked

119,64,876,31,41,26,238,96,59,9,2310,2646,2343,2423,2333,2515,2095,2251,1376,2324,-30,90,30,10,90,10,10,30,10,50,True,ARAM

8,37,40,86,17,99,420,75,222,106,1682,1808,2211,1767,1303,1927,1000,2190,1845,1000,-30,-30,-30,-30,-30,30,30,30,30,30,False,ARAM

119,3,111,78,32,131,2,875,39,143,1000,2190,1845,1000,1995,2011,1000,1000,1000,1998,30,30,30,30,50,50,90,90,90,50,False,ARAM

13,11,29,17,12,147,1,117,555,112,1000,2190,1924,1000,1987,1000,1000,2070,1000,1000,30,30,50,30,50,-10,-10,-90,-90,-10,True,ARAM

555,76,61,81,497,64,45,157,110,22,2103,1480,1564,1586,2135,1000,1745,2052,1000,2059,30,30,30,30,90,30,50,90,30,90,False,ARAM

29,21,79,145,9,555,75,412,32,203,2269,1671,2190,1924,1000,1760,2830,1973,1157,2506,-50,-50,30,50,30,-50,-10,-10,-10,-10,True,ARAM

81,6,89,127,236,119,51,25,145,9,1682,1760,1808,2211,1303,1761,2127,1000,1000,1774,30,50,30,30,30,-90,-50,-50,-50,-50,True,ARAM

115,117,141,134,86,268,111,15,133,223,1775,1795,1000,1902,1711,1818,2127,1000,1000,1793,30,-10,10,10,30,30,-50,-50,-50,-10,True,ARAM

16,64,63,498,11,17,235,104,360,223,2127,1841,1000,1000,1782,1830,1788,1794,1711,1676,-50,30,-50,-50,90,-90,10,-30,10,-30,True,ARAM

89,245,133,105,111,20,39,131,350,266,2127,1000,1000,1747,1817,1464,2046,1810,2125,1411,-50,-50,-50,50,50,10,10,-30,50,50,True,ARAM

115,202,18,111,39,81,203,161,117,38,1487,1000,1000,1490,1493,1496,1508,1538,1272,1519,-30,-50,-50,10,50,10,-10,50,-10,-90,True,ARAM

55,17,161,57,81,105,9,555,240,15,1682,1808,2211,1767,1303,1000,1927,1919,1000,1455,30,30,30,-30,30,-10,-10,-30,-10,-10,False,ARAM

26,16,37,25,17,110,38,223,107,23,1682,1808,2211,1767,1303,1000,1000,1367,1885,1889,30,30,30,-30,30,-30,-30,-30,-10,-10,True,ARAM

101,876,43,103,39,122,75,523,50,32,1682,1808,2211,1767,1303,1942,1000,1899,1875,1864,30,30,30,-30,30,50,-30,-30,50,30,False,ARAM

